unixtime,belgium,denmark_west,denmark_east,france,netherlands,norway,sweden,switzerland,czech_republic,germany,italy,slovenia,hungary
1420071300,36.56,25.02,27.38,36.56,36.56,27.4,27.38,44.94,26.48,22.34,47.72,27.3,45.07
1420072200,36.56,25.02,27.38,36.56,36.56,27.4,27.38,44.94,26.48,22.34,47.72,27.3,45.07
1420073100,36.56,25.02,27.38,36.56,36.56,27.4,27.38,44.94,26.48,22.34,47.72,27.3,45.07
1420074000,36.56,25.02,27.38,36.56,36.56,27.4,27.38,44.94,26.48,22.34,47.72,27.3,45.07
1420074900,36.56,18.29,18.29,36.56,36.56,27.07,23.37,43.43,24.2,22.34,47.72,23.25,44.16
1420075800,36.56,18.29,18.29,36.56,36.56,27.07,23.37,43.43,24.2,22.34,47.72,23.25,44.16
1420076700,36.56,18.29,18.29,36.56,36.56,27.07,23.37,43.43,24.2,22.34,47.72,23.25,44.16
1420077600,36.56,18.29,18.29,36.56,36.56,27.07,23.37,43.43,24.2,22.34,47.72,23.25,44.16
1420078500,36.56,16.04,16.04,36.56,36.56,26.93,19.33,38.08,22.06,22.34,47.72,22.2,39.17
1420079400,36.56,16.04,16.04,36.56,36.56,26.93,19.33,38.08,22.06,22.34,47.72,22.2,39.17
1420080300,36.56,16.04,16.04,36.56,36.56,26.93,19.33,38.08,22.06,22.34,47.72,22.2,39.17
1420081200,36.56,16.04,16.04,36.56,36.56,26.93,19.33,38.08,22.06,22.34,47.72,22.2,39.17
1420082100,36.56,14.6,14.6,36.56,36.56,26.83,17.66,35.47,20.27,22.34,47.72,19.56,26.93
1420083000,36.56,14.6,14.6,36.56,36.56,26.83,17.66,35.47,20.27,22.34,47.72,19.56,26.93
1420083900,36.56,14.6,14.6,36.56,36.56,26.83,17.66,35.47,20.27,22.34,47.72,19.56,26.93
1420084800,36.56,14.6,14.6,36.56,36.56,26.83,17.66,35.47,20.27,22.34,47.72,19.56,26.93
1420085700,36.56,14.95,14.95,36.56,36.56,26.81,17.53,30.83,19.17,22.34,47.72,18.88,20.94
1420086600,36.56,14.95,14.95,36.56,36.56,26.81,17.53,30.83,19.17,22.34,47.72,18.88,20.94
1420087500,36.56,14.95,14.95,36.56,36.56,26.81,17.53,30.83,19.17,22.34,47.72,18.88,20.94
1420088400,36.56,14.95,14.95,36.56,36.56,26.81,17.53,30.83,19.17,22.34,47.72,18.88,20.94
1420089300,36.56,14.5,14.5,36.56,36.56,26.97,18.07,28.26,17.9,22.34,47.72,18.39,18.52
1420090200,36.56,14.5,14.5,36.56,36.56,26.97,18.07,28.26,17.9,22.34,47.72,18.39,18.52
1420091100,36.56,14.5,14.5,36.56,36.56,26.97,18.07,28.26,17.9,22.34,47.72,18.39,18.52
1420092000,36.56,14.5,14.5,36.56,36.56,26.97,18.07,28.26,17.9,22.34,47.72,18.39,18.52
1420092900,36.56,10.76,10.76,36.56,36.56,27.07,25.23,25.36,17.29,22.34,47.72,18.98,17.29
1420093800,36.56,10.76,10.76,36.56,36.56,27.07,25.23,25.36,17.29,22.34,47.72,18.98,17.29
1420094700,36.56,10.76,10.76,36.56,36.56,27.07,25.23,25.36,17.29,22.34,47.72,18.98,17.29
1420095600,36.56,10.76,10.76,36.56,36.56,27.07,25.23,25.36,17.29,22.34,47.72,18.98,17.29
1420096500,36.56,12.01,12.01,36.56,36.56,26.8,26.8,26.93,17.39,22.34,47.72,23.56,17.39
1420097400,36.56,12.01,12.01,36.56,36.56,26.8,26.8,26.93,17.39,22.34,47.72,23.56,17.39
1420098300,36.56,12.01,12.01,36.56,36.56,26.8,26.8,26.93,17.39,22.34,47.72,23.56,17.39
