unixtime,load1,load2,load3,price
1432223100,0.079,0.187,0.039,29.93
1432224000,0.078,0,0.031,29.93
1432224900,0.08,0,0.075,29.62
1432225800,0.11,0,0.176,29.62
1432226700,0.107,0.135,0.541,29.62
1432227600,0.273,0.025,0.44,29.62
1432228500,0.099,0.06,0.167,30.97
1432229400,0.103,0,0.064,30.97
1432230300,0.088,0.01,0.084,30.97
1432231200,0.117,0,0.086,30.97
1432232100,0.152,0.07,0.088,34.98
1432233000,0.138,0.34,0.071,34.98
1432233900,0.12,0.075,0.11,34.98
1432234800,0.15,0.06,0.092,34.98
1432235700,0.18,0.06,0.077,39.96
1432236600,0.113,0.115,0.064,39.96
1432237500,0.137,0.105,0.094,39.96
1432238400,0.133,0.1,0.06,39.96
1432239300,0.137,0.12,0.049,39.64
1432240200,0.12,0.14,0.055,39.64
1432241100,0.12,0.14,0.036,39.64
1432242000,0.182,0.13,0.039,39.64
1432242900,0.063,0.15,0.06,37
1432243800,0.115,0.16,0.05,37
1432244700,0.082,0.19,0.041,37
1432245600,0.073,0.185,0.04,37
1432246500,0.08,0.205,0.039,37.76
1432247400,0.08,0.18,0.04,37.76
1432248300,0.08,0.18,0.031,37.76
1432249200,0.078,0.15,0.039,37.76
1432250100,0.069,0.14,0.042,30.02
1432251000,0.101,0.14,0.047,30.02
1432251900,0.072,0.14,0.051,30.02
1432252800,0.08,0.14,0.049,30.02
1432253700,0.078,0.16,0.03,29.95
1432254600,0.062,0.15,0.037,29.95
1432255500,0.08,0.15,0.04,29.95
1432256400,0.067,0.14,0.033,29.95
1432257300,0.083,0.15,0.043,26.33
1432258200,0.087,0.18,0.039,26.33
1432259100,0.073,0.28,0.042,26.33
1432260000,0.088,0.15,0.058,26.33
1432260900,0.07,0.16,0.04,24.33
1432261800,0.072,0.17,0.04,24.33
1432262700,0.08,0.14,0.03,24.33
1432263600,0.068,0.15,0.039,24.33
1432264500,0.092,0.14,0.04,23.74
1432265400,0.098,0.1,0.035,23.74
1432266300,0.082,0.055,0.032,23.74
1432267200,0.125,0.065,0.048,23.74
1432268100,0.08,0.055,0.046,23.79
1432269000,0.112,0.08,0.044,23.79
1432269900,0.088,0.075,0.046,23.79
1432270800,0.122,0.08,0.028,23.79
1432271700,0.118,0.07,0.01,25.28
1432272600,0.17,0.075,0.07,25.28
1432273500,0.165,0.07,0.005,25.28
1432274400,0.078,0.05,0.006,25.28
1432275300,0.099,0.045,0.009,33.99
1432276200,0.091,0.04,0,33.99
1432277100,0.079,0.05,0,33.99
1432278000,0.528,0.04,0,33.99
1432278900,0.268,0.05,0,40.72
1432279800,0.782,0.095,0,40.72
1432280700,0.657,0.12,0,40.72
1432281600,0.933,0.13,0,40.72
1432282500,0.42,0.135,0,40.52
1432283400,0.36,0.205,0,40.52
1432284300,0.185,0.075,0,40.52
1432285200,0.425,0.055,0.001,40.52
1432286100,0.448,0.065,0.001,35.25
1432287000,0.327,0.035,0.263,35.25
1432287900,0.585,0.02,0.333,35.25
1432288800,0.403,0.02,0.212,35.25
1432289700,0.317,0,0.136,31.41
1432290600,0.12,0,0.113,31.41
1432291500,0.123,0,0.113,31.41
1432292400,0.13,0,0.092,31.41
1432293300,0.08,0,0.162,31
1432294200,0.109,0.03,0.156,31
1432295100,0.111,0.02,0.063,31
1432296000,0.11,0.01,0.025,31
1432296900,0.099,0,0.045,28.53
1432297800,0.196,0,0.035,28.53
1432298700,0.085,0,0,28.53
1432299600,0.08,0,0,28.53
1432300500,0.08,0,0,28.13
1432301400,0.1,0,0,28.13
1432302300,0.09,0,0,28.13
1432303200,0.11,0.07,0,28.13
1432304100,0.09,0,0,26.97
1432305000,0.099,0.005,0.007,26.97
1432305900,0.101,0.025,0.003,26.97
1432306800,0.08,0.01,0.01,26.97
1432307700,0.092,0,0.037,27.93
1432308600,0.088,0.01,0.06,27.93
1432309500,0.072,0.03,0.05,27.93
1432310400,0.09,0.01,0.059,27.93
1432311300,0.088,0.01,0.071,28.42
1432312200,0.112,0,0.042,28.42
1432313100,0.105,0,0.05,28.42
1432314000,0.12,0,0.054,28.42
1432314900,0.135,0,0.128,30.21
1432315800,0.078,0,0.101,30.21
1432316700,0.11,0,0.085,30.21
1432317600,0.35,0,0.088,30.21
1432318500,0.08,0.01,0.081,33.97
1432319400,0.082,0,0.069,33.97
1432320300,0.088,0.03,0.08,33.97
1432321200,0.129,0.01,0.071,33.97
1432322100,0.186,0,0.061,36.17
1432323000,0.179,0.02,0.098,36.17
1432323900,0.223,0.085,0.071,36.17
1432324800,0.17,0.075,0.089,36.17
1432325700,0.162,0.08,0.074,35.92
1432326600,0.13,0.11,0.051,35.92
1432327500,0.118,0.155,0.037,35.92
1432328400,0.152,0.14,0.051,35.92
1432329300,0.091,0.16,0.05,35.68
1432330200,0.089,0.19,0.041,35.68
1432331100,0.111,0.18,0.048,35.68
1432332000,0.08,0.18,0.041,35.68
1432332900,0.072,0.18,0.059,36.12
1432333800,0.08,0.2,0.06,36.12
1432334700,0.098,0.185,0.049,36.12
1432335600,0.082,0.36,0.041,36.12
1432336500,0.098,0.525,0.042,34.2
1432337400,0.07,0.17,0.038,34.2
1432338300,0.08,0.16,0.06,34.2
1432339200,0.08,0.16,0.03,34.2
1432340100,0.069,0.17,0.04,30.11
1432341000,0.101,0.155,0.069,30.11
1432341900,0.082,0.175,0.045,30.11
1432342800,0.078,0.18,0.047,30.11
1432343700,0.092,0.19,0.054,25.54
1432344600,0.078,0.18,0.04,25.54
1432345500,0.069,0.19,0.035,25.54
1432346400,0.083,0.18,0.05,25.54
1432347300,0.077,0.19,0.039,24.23
