Start date;End date;Germany/Luxembourg [€/MWh] Original resolutions;∅ DE/LU neighbours [€/MWh] Original resolutions;Belgium [€/MWh] Original resolutions;Denmark 1 [€/MWh] Original resolutions;Denmark 2 [€/MWh] Original resolutions;France [€/MWh] Original resolutions;Netherlands [€/MWh] Original resolutions;Norway 2 [€/MWh] Original resolutions;Austria [€/MWh] Original resolutions;Poland [€/MWh] Original resolutions;Sweden 4 [€/MWh] Original resolutions;Switzerland [€/MWh] Original resolutions;Czech Republic [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Northern Italy [€/MWh] Original resolutions;Slovenia [€/MWh] Original resolutions;Hungary [€/MWh] Original resolutions
Jan 1, 2018 12:00 AM;Jan 1, 2018 12:15 AM;-;-;14.16;21.80;26.33;6.74;27.20;26.33;-;-;26.33;36.99;-10.00;-5.27;45.73;4.90;4.29
Jan 1, 2018 12:15 AM;Jan 1, 2018 12:30 AM;-;-;14.16;21.80;26.33;6.74;27.20;26.33;-;-;26.33;36.99;-10.00;-5.27;45.73;4.90;4.29
Jan 1, 2018 12:30 AM;Jan 1, 2018 12:45 AM;-;-;14.16;21.80;26.33;6.74;27.20;26.33;-;-;26.33;36.99;-10.00;-5.27;45.73;4.90;4.29
Jan 1, 2018 12:45 AM;Jan 1, 2018 1:00 AM;-;-;14.16;21.80;26.33;6.74;27.20;26.33;-;-;26.33;36.99;-10.00;-5.27;45.73;4.90;4.29
Jan 1, 2018 1:00 AM;Jan 1, 2018 1:15 AM;-;-;4.74;26.43;26.43;4.74;27.30;26.43;-;-;26.43;31.08;-19.00;-29.99;44.16;3.00;0.22
Jan 1, 2018 1:15 AM;Jan 1, 2018 1:30 AM;-;-;4.74;26.43;26.43;4.74;27.30;26.43;-;-;26.43;31.08;-19.00;-29.99;44.16;3.00;0.22
Jan 1, 2018 1:30 AM;Jan 1, 2018 1:45 AM;-;-;4.74;26.43;26.43;4.74;27.30;26.43;-;-;26.43;31.08;-19.00;-29.99;44.16;3.00;0.22
Jan 1, 2018 1:45 AM;Jan 1, 2018 2:00 AM;-;-;4.74;26.43;26.43;4.74;27.30;26.43;-;-;26.43;31.08;-19.00;-29.99;44.16;3.00;0.22
Jan 1, 2018 2:00 AM;Jan 1, 2018 2:15 AM;-;-;3.66;26.10;26.10;3.66;30.10;26.10;-;-;26.10;29.17;-20.10;-56.65;42.24;1.00;0.21
Jan 1, 2018 2:15 AM;Jan 1, 2018 2:30 AM;-;-;3.66;26.10;26.10;3.66;30.10;26.10;-;-;26.10;29.17;-20.10;-56.65;42.24;1.00;0.21
Jan 1, 2018 2:30 AM;Jan 1, 2018 2:45 AM;-;-;3.66;26.10;26.10;3.66;30.10;26.10;-;-;26.10;29.17;-20.10;-56.65;42.24;1.00;0.21
Jan 1, 2018 2:45 AM;Jan 1, 2018 3:00 AM;-;-;3.66;26.10;26.10;3.66;30.10;26.10;-;-;26.10;29.17;-20.10;-56.65;42.24;1.00;0.21
Jan 1, 2018 3:00 AM;Jan 1, 2018 3:15 AM;-;-;1.26;24.70;24.70;1.26;20.87;24.70;-;-;24.70;21.96;-26.90;-63.14;39.29;1.00;0.07
Jan 1, 2018 3:15 AM;Jan 1, 2018 3:30 AM;-;-;1.26;24.70;24.70;1.26;20.87;24.70;-;-;24.70;21.96;-26.90;-63.14;39.29;1.00;0.07
Jan 1, 2018 3:30 AM;Jan 1, 2018 3:45 AM;-;-;1.26;24.70;24.70;1.26;20.87;24.70;-;-;24.70;21.96;-26.90;-63.14;39.29;1.00;0.07
Jan 1, 2018 3:45 AM;Jan 1, 2018 4:00 AM;-;-;1.26;24.70;24.70;1.26;20.87;24.70;-;-;24.70;21.96;-26.90;-63.14;39.29;1.00;0.07
Jan 1, 2018 4:00 AM;Jan 1, 2018 4:15 AM;-;-;-20.10;24.74;24.74;-20.10;25.56;24.74;-;-;24.74;14.96;-27.50;-64.62;36.00;-42.50;-17.44
Jan 1, 2018 4:15 AM;Jan 1, 2018 4:30 AM;-;-;-20.10;24.74;24.74;-20.10;25.56;24.74;-;-;24.74;14.96;-27.50;-64.62;36.00;-42.50;-17.44
Jan 1, 2018 4:30 AM;Jan 1, 2018 4:45 AM;-;-;-20.10;24.74;24.74;-20.10;25.56;24.74;-;-;24.74;14.96;-27.50;-64.62;36.00;-42.50;-17.44
