load1,load2,load3,price
0.079,0.187,0.039,29.93
0.078,0.0,0.031,29.93
0.08,0.0,0.075,29.62
0.11,0.0,0.176,29.62
0.107,0.135,0.541,29.62
0.273,0.025,0.44,29.62
0.099,0.06,0.167,30.97
0.103,0.0,0.064,30.97
0.088,0.01,0.084,30.97
0.117,0.0,0.086,30.97
0.152,0.07,0.088,34.98
0.138,0.34,0.071,34.98
0.12,0.075,0.11,34.98
0.15,0.06,0.092,34.98
0.18,0.06,0.077,39.96
0.113,0.115,0.064,39.96
0.137,0.105,0.094,39.96
0.133,0.1,0.06,39.96
0.137,0.12,0.049,39.64
0.12,0.14,0.055,39.64
0.12,0.14,0.036,39.64
0.182,0.13,0.039,39.64
0.063,0.15,0.06,37.0
0.115,0.16,0.05,37.0
0.082,0.19,0.041,37.0
0.073,0.185,0.04,37.0
0.08,0.205,0.039,37.76
0.08,0.18,0.04,37.76
0.08,0.18,0.031,37.76
0.078,0.15,0.039,37.76
0.069,0.14,0.042,30.02
0.101,0.14,0.047,30.02
0.072,0.14,0.051,30.02
0.08,0.14,0.049,30.02
0.078,0.16,0.03,29.95
0.062,0.15,0.037,29.95
0.08,0.15,0.04,29.95
0.067,0.14,0.033,29.95
0.083,0.15,0.043,26.33
0.087,0.18,0.039,26.33
0.073,0.28,0.042,26.33
0.088,0.15,0.058,26.33
0.07,0.16,0.04,24.33
0.072,0.17,0.04,24.33
0.08,0.14,0.03,24.33
0.068,0.15,0.039,24.33
0.092,0.14,0.04,23.74
0.098,0.1,0.035,23.74
0.082,0.055,0.032,23.74
0.125,0.065,0.048,23.74
0.08,0.055,0.046,23.79
0.112,0.08,0.044,23.79
0.088,0.075,0.046,23.79
0.122,0.08,0.028,23.79
0.118,0.07,0.01,25.28
0.17,0.075,0.07,25.28
0.165,0.07,0.005,25.28
0.078,0.05,0.006,25.28
0.099,0.045,0.009,33.99
0.091,0.04,0.0,33.99
0.079,0.05,0.0,33.99
0.528,0.04,0.0,33.99
0.268,0.05,0.0,40.72
0.782,0.095,0.0,40.72
0.657,0.12,0.0,40.72
0.933,0.13,0.0,40.72
0.42,0.135,0.0,40.52
0.36,0.205,0.0,40.52
0.185,0.075,0.0,40.52
0.425,0.055,0.001,40.52
0.448,0.065,0.001,35.25
0.327,0.035,0.263,35.25
0.585,0.02,0.333,35.25
0.403,0.02,0.212,35.25
0.317,0.0,0.136,31.41
0.12,0.0,0.113,31.41
0.123,0.0,0.113,31.41
0.13,0.0,0.092,31.41
0.08,0.0,0.162,31.0
0.109,0.03,0.156,31.0
0.111,0.02,0.063,31.0
0.11,0.01,0.025,31.0
0.099,0.0,0.045,28.53
0.196,0.0,0.035,28.53
0.085,0.0,0.0,28.53
0.08,0.0,0.0,28.53
0.08,0.0,0.0,28.13
0.1,0.0,0.0,28.13
0.09,0.0,0.0,28.13
0.11,0.07,0.0,28.13
0.09,0.0,0.0,26.97
0.099,0.005,0.007,26.97
0.101,0.025,0.003,26.97
0.08,0.01,0.01,26.97
0.092,0.0,0.037,27.93
0.088,0.01,0.06,27.93
0.072,0.03,0.05,27.93
0.09,0.01,0.059,27.93
0.088,0.01,0.071,28.42
0.112,0.0,0.042,28.42
0.105,0.0,0.05,28.42
0.12,0.0,0.054,28.42
0.135,0.0,0.128,30.21
0.078,0.0,0.101,30.21
0.11,0.0,0.085,30.21
0.35,0.0,0.088,30.21
0.08,0.01,0.081,33.97
0.082,0.0,0.069,33.97
0.088,0.03,0.08,33.97
0.129,0.01,0.071,33.97
0.186,0.0,0.061,36.17
0.179,0.02,0.098,36.17
0.223,0.085,0.071,36.17
0.17,0.075,0.089,36.17
0.162,0.08,0.074,35.92
0.13,0.11,0.051,35.92
0.118,0.155,0.037,35.92
0.152,0.14,0.051,35.92
0.091,0.16,0.05,35.68
0.089,0.19,0.041,35.68
0.111,0.18,0.048,35.68
0.08,0.18,0.041,35.68
0.072,0.18,0.059,36.12
0.08,0.2,0.06,36.12
0.098,0.185,0.049,36.12
0.082,0.36,0.041,36.12
0.098,0.525,0.042,34.2
0.07,0.17,0.038,34.2
0.08,0.16,0.06,34.2
0.08,0.16,0.03,34.2
0.069,0.17,0.04,30.11
0.101,0.155,0.069,30.11
0.082,0.175,0.045,30.11
0.078,0.18,0.047,30.11
0.092,0.19,0.054,25.54
0.078,0.18,0.04,25.54
0.069,0.19,0.035,25.54
0.083,0.18,0.05,25.54
0.077,0.19,0.039,24.23
0.071,0.135,0.042,24.23
0.092,0.115,0.049,24.23
0.087,0.1,0.05,24.23
0.081,0.115,0.07,20.96
0.072,0.105,0.075,20.96
0.095,0.11,0.133,20.96
0.103,0.085,0.078,20.96
0.08,0.095,0.083,20.53
0.119,0.11,0.068,20.53
0.091,0.09,0.053,20.53
0.099,0.095,0.027,20.53
0.1,0.085,0.025,20.22
0.071,0.095,0.041,20.22
0.11,0.08,0.362,20.22
0.08,0.08,0.067,20.22
0.13,0.065,0.162,20.21
0.092,0.08,0.14,20.21
0.097,0.065,0.009,20.21
0.101,0.08,0.059,20.21
0.08,0.07,0.011,22.61
0.1,0.075,0.0,22.61
0.08,0.08,0.0,22.61
0.092,0.09,0.0,22.61
0.1,0.085,0.0,24.92
0.105,0.08,0.0,24.92
0.1,0.08,0.0,24.92
0.173,0.165,0.0,24.92
0.765,0.04,0.0,26.08
0.832,0.045,0.0,26.08
0.635,0.07,0.0,26.08
0.518,0.0,0.0,26.08
0.317,0.0,0.0,25.6
0.157,0.0,0.0,25.6
0.126,0.01,0.0,25.6
0.107,0.0,0.0,25.6
0.095,0.0,0.0,25.53
0.105,0.0,0.0,25.53
0.418,0.0,0.0,25.53
0.255,0.0,0.0,25.53
0.127,0.0,0.0,24.3
0.415,0.0,0.0,24.3
0.277,0.0,0.0,24.3
0.401,0.0,0.0,24.3
0.489,0.0,0.0,22.18
0.565,0.0,0.0,22.18
0.238,0.0,0.0,22.18
0.105,0.0,0.0,22.18
0.093,0.0,0.0,20.42
0.122,0.0,0.0,20.42
0.108,0.075,0.009,20.42
0.11,0.355,0.001,20.42
0.142,0.435,0.012,19.48
0.113,0.06,0.046,19.48
0.095,0.015,0.066,19.48
0.082,0.0,0.067,19.48
0.087,0.0,0.058,19.42
0.111,0.0,0.049,19.42
0.082,0.0,0.063,19.42
0.098,0.0,0.057,19.42
0.137,0.0,0.049,21.9
0.122,0.0,0.07,21.9
0.108,0.0,0.033,21.9
0.11,0.06,0.047,21.9
0.123,0.155,0.068,25.76
0.144,0.035,0.054,25.76
0.263,0.0,0.055,25.76
0.13,0.0,0.082,25.76
0.157,0.01,0.081,29.57
0.116,0.01,0.069,29.57
0.12,0.01,0.067,29.57
0.117,0.075,0.08,29.57
0.123,0.14,0.082,29.35
0.147,0.335,0.056,29.35
0.113,0.545,0.036,29.35
0.12,0.11,0.042,29.35
0.109,0.12,0.048,29.58
0.138,0.12,0.051,29.58
0.13,0.125,0.042,29.58
0.123,0.105,0.027,29.58
0.1,0.11,0.04,30.0
0.089,0.11,0.039,30.0
0.071,0.105,0.024,30.0
0.072,0.055,0.047,30.0
0.088,0.045,0.045,27.67
0.087,0.055,0.035,27.67
0.085,0.065,0.06,27.67
0.088,0.07,0.041,27.67
0.077,0.07,0.022,25.24
0.075,0.065,0.047,25.24
0.088,0.07,0.032,25.24
0.07,0.065,0.029,25.24
0.092,0.055,0.04,19.84
0.098,0.05,0.04,19.84
0.07,0.055,0.039,19.84
0.082,0.05,0.05,19.84
0.08,0.055,0.05,19.06
0.078,0.045,0.035,19.06
0.072,0.05,0.03,19.06
0.09,0.05,0.035,19.06
0.09,0.07,0.046,17.88
0.077,0.055,0.127,17.88
0.08,0.065,0.067,17.88
0.128,0.06,0.108,17.88
0.075,0.065,0.068,17.55
0.108,0.045,0.054,17.55
0.099,0.05,0.048,17.55
0.09,0.04,0.018,17.55
0.111,0.05,0.007,15.96
0.08,0.04,0.01,15.96
0.072,0.05,0.0,15.96
